;A1-09/9;A1-19/63;A1-42/12;A1-42/30;A1-42/42;A1-42/60;A1-42/62;A1-48/22;A1-48/32;A1-48/40;A1-48/50;A1-48/52;AT-09/09;AT-22/7;AT-42/12;AT-42/30;AT-44/56;AT-48/20;AT-48/22;AT-53/26;AT-54/9;AT-66/26;AT-79/11
2M12;FUP0040 - PRÁTICAS DE CAMPO EM BOTÂNICA - T01;FUP0343 - INOVAÇÃO TECNOLÓGICA - T01;FUP0295 - SISTEMAS AGROINDUSTRIAIS - T02;;;;;MAT0025 - CÁLCULO 1 - T20;;;;;;;;FUP0446 - GESTÃO DE NEGÓCIOS INTERNACIONAIS - T02;;;MAT0027 - CÁLCULO 3 - T01;;;;
2M34;FUP0040 - PRÁTICAS DE CAMPO EM BOTÂNICA - T01;FUP0128 - ECONOMIA BRASILEIRA CONTEMPORÂNEA - T01;FUP0410 - TECNOLOGIAS DE PRODUTOS AGROINDUSTRIAIS - T02;;;;;MAT0025 - CÁLCULO 1 - T20;;;;;;;;FUP0518 - POLÍTICA INTERNACIONAL DESENVOLVIMENTO E AGRONEGÓCIO - T01;;;MAT0027 - CÁLCULO 3 - T01;;;;
2N12;;FUP0531 - ECONOMIA E MEIO AMBIENTE - T01;FUP0321 - NATUREZA E ENERGIA - T02;FUP0316 - UNIVERSO - T02;FUP0358 - SOCIEDADE E NATUREZA - T01;;FUP0523 - ECOSSISTEMAS TERRESTRES AQUÁTICOS E INTERFACES - T01;FUP0218 - SIMULAÇÃO EM ENSINO DE FÍSICA - T01;;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T11;;;;;;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL - T01;;FUP0351 - LUZ E SOM - T01;;;
2N34;;;;;FUP0358 - SOCIEDADE E NATUREZA - T01;;FUP0523 - ECOSSISTEMAS TERRESTRES AQUÁTICOS E INTERFACES - T01;;;;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T11;;;;;FUP0257 - EPIDEMIOLOGIA AMBIENTAL - T01;FUP0265 - BIOLOGIA GERAL APLICADA A GESTÃO AMBIENTAL - T01;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T01;;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T02;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T02
2T23;;;FUP0321 - NATUREZA E ENERGIA - T01;;;;;FUP0316 - UNIVERSO - T01;;;;;;;;;;PPGMADER1967 - SEMINÁRIOS DE ELABORAÇÃO DE DISSERTAÇÃO 1 PROF. MÔNICA, JÁNAÍNA E SUZI - T1;;FUP0351 - LUZ E SOM - T02;;;
2T45;;;;;;;;FUP0313 - QUÍMICA E TECNOLOGIA - T01;;;;;;;;;;PPGMADER1967 - SEMINÁRIOS DE ELABORAÇÃO DE DISSERTAÇÃO 1 PROF. MÔNICA, JÁNAÍNA E SUZI - T1;FUP0362 - ENERGIA E DINÂMICA DAS TRANSFORMAÇÕES QUÍMICAS - T02;FUP0363 - ELETROMAGNETISMO EM CIÊNCIAS - T02;;FUP0407 - MECÂNICA APLICADA AS CIÊNCIAS - T01;FUP0329 - COMPOSTOS ORGÂNICOS E VIDA - T01
3M12;;;FUP0282 - ADMINISTRAÇÃO FINANCEIRA - T01;FUP0279 - EVOLUÇÃO DA AGRICULTURA FAMILIAR - T02;;;;;;;FUP0307 - COMERCIALIZAÇÃO DE PRODUTOS AGROINDUSTRIAIS - T02;;;;FUP0308 - MARKETING NO AGRONEGÓCIO - T01;FUP0337 - MÉTODOS QUALITATIVOS - T01;FUP0411 - GESTÃO AMBIENTAL - T02;FUP0001 - ANATOMIA E FISIOLOGIA VEGETAL - T01;FUP0414 - TRANSPORTE E LOGÍSTICA AGROINDUSTRIAL - T01;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T02;
3M34;FUP0527 - BOTÂNICA - T02;FUP0339 - TÓPICOS AVANÇADOS EM GESTÃO DO AGRONEGÓCIO - T01;FUP0293 - ECONOMIA APLICADA AO AGRONEGÓCIO 2 - T01;FUP0285 - HISTÓRIA E FILOSOFIA DA CIÊNCIA - T01;;;;FUP0567 - ESTATÍSTICA BÁSICA - T01;;;FUP0307 - COMERCIALIZAÇÃO DE PRODUTOS AGROINDUSTRIAIS - T02;;;;FUP0281 - ADMINISTRAÇÃO APLICADA AO AGRONEGÓCIO - T01;FUP0337 - MÉTODOS QUALITATIVOS - T01;FUP0411 - GESTÃO AMBIENTAL - T02;FUP0001 - ANATOMIA E FISIOLOGIA VEGETAL - T01;;;;FUP0350 - ENSINO DE GEOCIÊNCIAS - T02;FUP0333 - CUSTOS AGROINDUSTRIAIS - T02
3N12;;FUP0262 - METODOLOGIA DA PESQUISA CIENTÍFICA E ELABORAÇÃO DE PROJETOS - T01;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T01;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T01;FUP0335 - GESTÃO DE PESSOAS - T01;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM - T01;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T01;MAT0023 - MATEMÁTICA 2 - T01;;;;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS - T01;;FUP0438 - QUÍMICA AMBIENTAL - T01;FUP0240 - TEORIA, CONCEITOS E METODOLOGIAS EM EDUCAÇÃO AMBIENTAL - T01;FUP0330 - DIDÁTICA DAS CIÊNCIAS - T02;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T06;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T01;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T02;FUP0261 - PEDOLOGIA E EDAFOLOGIA - T01;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T04;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T01;FUP0286 - ENSINO DE CIÊNCIAS - T01
3N34;;;FUP0537 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 1 - T01;FUP0542 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 3 - T01;FUP0335 - GESTÃO DE PESSOAS - T01;FUP0555 - POLÍTICA E GESTÃO DE RESÍDUOS URBANOS E RECICLAGEM - T01;FUP0541 - ESTÁGIO SUPERVISIONADO EM ENSINO DE CIÊNCIAS NATURAIS 2 - T01;;;;;FUP0530 - PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS - T01;;;FUP0435 - TEORIA DO DESENVOLVIMENTO SUSTENTÁVEL - T02;;FUP0552 - TÓPICOS ESPECIAIS EM GESTÃO AMBIENTAL - T06;FUP0323 - METODOLOGIA DA PESQUISA EM EDUCAÇÃO - T01;FUP0314 - BASES PSICOLÓGICAS PARA O ENSINO DE CIÊNCIAS - T02;;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T04;FUP0007 - TÓPICOS ESPECIAIS EM CIÊNCIAS NATURAIS - T01;FUP0286 - ENSINO DE CIÊNCIAS - T01
